address,price,dong_may,cpu,ram,o_cung,man_hinh,card_man_hinh,kich_thuoc,khoi_luong,pin,he_dieu_hanh,do_phan_giai
https://phongvu.vn/hp-victus-16-e1107ax-7c140pa--s221101325,25490000,HP,AMD Ryzen 5 6600H,1 x 8GB,512GB SSD M.2 NVMe,16.1 inch,RTX 3050  4GB  GDDR6 / AMD Radeon 660M,37 x 26 x 2.35 cm,2.5,4 cell,Windows 11 Home SL,1920 x 1080
https://phongvu.vn/acer-swift-3-sf314-511-55qe-nx-abnsv-003--s211101853,23790000,ACER,Intel Core i5-1135G7,16GB Onboard,512GB SSD M.2 NVMe,14 inch,Onboard  Intel Iris Xe Graphics,32.28 x 21.22 x 1.59 cm,1.2,56 Wh  Pin liền,Windows 11 Home,1920 x 1080
https://phongvu.vn/hp-pavilion-14-dv2073tu--s221101770,20990000,HP,Intel Core i5-1235U,2 x 8GB,512GB SSD M.2 NVMe,14 inch,Onboard  Intel Iris Xe Graphics,32.5 x 21.66 x 1.70 cm,1.4,3 cell,Windows 11 Home SL,1920 x 1080
https://phongvu.vn/may-tinh-xach-tay-laptop-lenovo-ideapad-gaming-3-15arh7-82sb00bbvn-amd-ryzen-5-6600h-xam--s231000900,19990000,Lenovo,AMD Ryzen 5 6600H,2 x 8GB,512GB SSD M.2 NVMe,15.6 inch,RTX 3050  4GB  GDDR6 / AMD Radeon 660M,359.6 x 266.4 x 21.8 mm,2.3,4 cell,Windows 11 Home,1920 x 1080
https://phongvu.vn/laptop-asus-vivobook-a1505va-l1114w-i5-13500h-den--s230304293,20990000,ASUS,Intel Core i5-13500H,16GB (8GB + 8GB Onboard),512GB SSD M.2 NVMe,15.6 inch,Onboard  Intel Iris Xe Graphics,31.26 x 22.12 x 1.55 cm,1.7,3 cell,Windows 11 Home,1920 x 1080
https://phongvu.vn/laptop-acer-swift-3-sf314-512-56qn-nx-k0fsv-002--s220800005,24790000,ACER,Intel Core i5-1240P,16GB,512GB SSD M.2 NVMe,14 inch,Onboard  Intel Iris Xe Graphics,32.1 x 21.08 x 1.59 cm,1.2,56 Wh  Pin liền,Windows 11 Home,2560 x 1440
https://phongvu.vn/may-tinh-xach-tay-laptop-msi-gf63-thin-11uc-1228vn-i7-11800h-den--s221201235,20490000,MSI,Intel Core i7-11800H,1 x 8GB,512GB SSD M.2 NVMe,15.6 inch,RTX 3050  4GB  GDDR6 / Intel UHD Graphics,35.9 x 25.4 x 2.17 cm,1.8,3 cell,Windows 10 Home 64-bit,1920 x 1080
https://phongvu.vn/laptop-acer-gaming-aspire-7-a715-76g-59mw-i5-12450h-den--s230703418,21490000,ACER,Intel Core i5-12450H,1 x 8GB,512GB SSD M.2 NVMe,15.6 inch,RTX 2050  4GB  GDDR6 / Intel UHD Graphics,362.3 x  237.4 x 19.9 mm,2.1,3 cell,Windows 11 Home,1920 x 1080
https://phongvu.vn/may-tinh-xach-tay-laptop-acer-aspire-5-a514-56p-742f-nx-khrsv-005-i7-1355u-xam--s230903487,19990000,ACER,Intel Core i7-1355U,16GB,512GB SSD M.2 NVMe,14 inch,Onboard  Intel Iris Xe Graphics,318.8 x 225.5 x 17.99 mm,1.5,3 cell,Windows 11 Home,1920 x 1200
https://phongvu.vn/may-tinh-xach-tay-laptop-acer-aspire-5-a515-58p-774r-nx-khjsv-005-i7-1355u-xam--s230903488,19990000,ACER,Intel Core i7-1355U,16GB,512GB SSD M.2 NVMe,15.6 inch,Onboard  Intel Iris Xe Graphics,362.9 x 237.5 x 17.99 mm,1.7,3 cell,Windows 11 Home,1920 x 1080
https://phongvu.vn/may-tinh-xach-tay-laptop-hp-15-fd0079tu-8d732pa-i5-1335u-bac--s230903463,19590000,HP,Intel Core i5-1335U,2 x 8GB,512GB SSD M.2 NVMe,15.6 inch,Onboard  Intel Iris Xe Graphics,35.98 x 23.6 x 1.86 cm,1.6,3 cell,Windows 11 Home,1920 x 1080
https://phongvu.vn/may-tinh-xach-tay-laptop-hp-14-ep0112tu-8c5l1pa-i5-1335u-bac--s230901128,19590000,HP,Intel Core i5-1335U,2 x 8GB,512GB SSD M.2 NVMe,14 inch,Onboard  Intel Iris Xe Graphics,32.37 x 21.5 x 1.79 cm,1.4,3 cell,Windows 11 Home SL,1920 x 1080
https://phongvu.vn/may-tinh-xach-tay-laptop-dell-inspiron-15-3520-3520-71003262-i7-1255u-den--s221200261,22390000,Dell,Intel Core i7-1255U,1 x 8GB,512GB SSD M.2 NVMe,15.6 inch,Onboard  Intel Iris Xe Graphics,35.8 x 23.5 x 1.75 cm,1.9,4 cell,Windows 11 Home SL + Office Home & Student 2021,1920 x 1080
https://phongvu.vn/may-tinh-xach-tay-laptop-msi-gf63-thin-12ve-460vn-i5-12450h-den--s230600766,22490000,MSI,Intel Core i5-12450H,1 x 8GB,512GB SSD M.2 NVMe,15.6 inch,RTX 4050  6GB  GDDR6 / Intel UHD Graphics,35.9 x 25.4 x 2.17 cm,1.8,3 cell,Windows 11 Home,1920 x 1080
https://phongvu.vn/laptop-asus-tuf-gaming-f15-fx507zc4-hn074w-i5-12500h-xam--s230703417,23990000,ASUS,Intel Core i5-12500H,1 x 8GB,512GB SSD M.2 NVMe,15.6 inch,RTX 3050  4GB  GDDR6 / Intel Iris Xe Graphics,35.4 x 25.1 x 2.24 ~ 2.49 cm,2.2,4 cell,Windows 11 Home,1920 x 1080
https://phongvu.vn/hp-victus-15-fa0115tx-7c0x1pa-i5-12500h-den--s221101328,26890000,HP,Intel Core i5-12500H,1 x 8GB,512GB SSD M.2 NVMe,15.6 inch,RTX 3050  4GB  GDDR6 / Intel Iris Xe Graphics,35.79 x 25.5 x 2.35 cm,2.4,4 cell,Windows 11 Home SL,1920 x 1080
https://phongvu.vn/laptop-dell-inspiron-15-3530-71011775-i7-1355u-den--s230500913,22490000,Dell,Intel Core i7-1355U,1 x 8GB,512GB SSD M.2 NVMe,15.6 inch,Onboard  Intel Iris Xe Graphics,358 x 235 x 1.69 mm,1.6,4 cell,Windows 11 Home SL + Office Home & Student 2021,1920 x 1080
https://phongvu.vn/may-tinh-xach-tay-laptop-hp-pavilion-15-eg3093tu-8c5l4pa-i5-1335u-vang--s230703940,21290000,HP,Intel Core i5-1335U,2 x 8GB,512GB SSD M.2 NVMe,15.6 inch,Onboard  Intel Iris Xe Graphics,36.02 x 23.4 x 1.8 cm,1.7,3 cell,Windows 11 Home SL,1920 x 1080
https://phongvu.vn/may-tinh-xach-tay-laptop-asus-tuf-gaming-f15-fx506he-hn075w-i7-11800h-den--s230901122,22990000,ASUS,Intel Core i7-11800H,2 x 8GB,1TB SSD M.2 NVMe,15.6 inch,RTX 3050Ti  4GB  GDDR6 / Intel UHD Graphics 750,35.9 x 25.6 x 2.28 ~ 2.45 cm,2.3,3 cell,Windows 11 Home,1920 x 1080
https://phongvu.vn/laptop-dell-vostro-5630-v5630-i5p085w11gru-i5-1340p-xam--s230402248,23190000,Dell,Intel Core i5-1340P,8GB Onboard,512GB SSD M.2 NVMe,16 inch,Onboard  Intel Iris Xe Graphics,15.67 - 17.95 x  356.78 x 251.90 mm,1.9,4 cell,Windows 11 Home SL + Office Home & Student 2021,1920 x 1200
https://phongvu.vn/asus-vivobook-a1505va-l1201w-i9-13900h-bac--s230302706,24990000,ASUS,Intel Core i9-13900H,16GB (8GB + 8GB Onboard),512GB SSD M.2 NVMe,15.6 inch,Onboard  Intel Iris Xe Graphics,35.68 x 22.76 x 1.99cm,1.7,3 cell,Windows 11 Home,1920 x 1080
https://phongvu.vn/may-tinh-xach-tay-laptop-msi-cyborg-15-a12ve-412vn-i5-12450h-den--s230603065,24990000,MSI,Intel Core i5-12450H,1 x 8GB,512GB SSD M.2 NVMe,15.6 inch,RTX 4050  6GB  GDDR6 / Intel UHD Graphics,359.36 x 250.34 x 21.95~22.9 mm,2,3 cell,Windows 11 Home,1920 x 1080
https://phongvu.vn/acer-nitro-5-an515-58-52sp-nh-qfhsv-001--s220101409,29490000,ACER,Intel Core i5-12500H,1 x 8GB,512GB SSD M.2 NVMe,15.6 inch,RTX 3050  4GB  GDDR6 / Intel Iris Xe Graphics,36.04 x 27.109 x 2.59 cm,2.5,4 cell,Windows 11 Home,1920 x 1080
https://phongvu.vn/asus-rog-strix-g15-g513rc-hn038w--s220300268,26990000,ASUS,AMD Ryzen 7 6800HS,1 x 8GB,512GB SSD M.2 NVMe,15.6 inch,RTX 3050  4GB  GDDR6 / AMD Radeon 680M,35.4 x 25.9 x 2.06 ~ 2.59 cm,2.1,4 cell,Windows 11 Home,1920 x 1080
https://phongvu.vn/may-tinh-xach-tay-laptop-asus-tuf-gaming-f15-fx507zc4-hn099w-i7-12700h-xam--s230802028,26990000,ASUS,Intel Core i7-12700H,1 x 8GB,512GB SSD M.2 NVMe,15.6 inch,RTX 3050  4GB  GDDR6 / Intel Iris Xe Graphics,35.4 x 25.1 x 2.49 cm,2.2,4 cell,Windows 11 Home,1920 x 1080
https://phongvu.vn/may-tinh-xach-tay-laptop-hp-pavilion-15-eg3091tu-8c5l2pa-i7-1355u-vang--s230903951,25290000,HP,Intel Core i7-1355U,2 x 8GB,512GB SSD M.2 NVMe,15.6 inch,Onboard  Intel Iris Xe Graphics,36.02 x 23.4 x 1.8 cm,1.7,3 cell,Windows 11 Home SL,1920 x 1080
